Taxon,Group,Plot,NumberOfSpecies,Abundance,TotalNumberOfSpecies
Springtails,saprotroph,T1_49,3,5,40
Springtails,saprotroph,T1_5,6,140,40
Springtails,saprotroph,T1_50,6,379,40
Springtails,saprotroph,T1_51,6,96,40
Springtails,saprotroph,T1_52,3,35,40
Springtails,saprotroph,T1_53,4,98,40
Springtails,saprotroph,T1_54,6,263,40
Springtails,saprotroph,T1_55,4,52,40
Springtails,saprotroph,T1_56,11,271,40
Springtails,saprotroph,T1_57,6,130,40
Springtails,saprotroph,T1_58,5,202,40
Springtails,saprotroph,T1_59,7,73,40
Springtails,saprotroph,T1_60,10,421,40
Springtails,saprotroph,T1_61,6,134,40
Springtails,saprotroph,T1_62,5,56,40
Springtails,saprotroph,T1_63,8,195,40
Springtails,saprotroph,T1_64,6,134,40
Springtails,saprotroph,T1_65,6,168,40
Springtails,saprotroph,T1_66,5,301,40
Springtails,saprotroph,T1_8,6,206,40
Springtails,saprotroph,T1_9,5,141,40
Springtails,saprotroph,T2_2,6,100,40
Springtails,saprotroph,T2_23,8,296,40
Springtails,saprotroph,T2_25,5,79,40
Springtails,saprotroph,T2_27,5,133,40
Springtails,saprotroph,T2_3,5,59,40
Springtails,saprotroph,T2_34,0,0,40
Springtails,saprotroph,T2_35,8,237,40
Springtails,saprotroph,T2_36,5,285,40
Springtails,saprotroph,T2_37,3,92,40
Springtails,saprotroph,T2_38,6,82,40
Springtails,saprotroph,T2_39,5,137,40
Springtails,saprotroph,T2_4,5,55,40
Springtails,saprotroph,T2_40,6,185,40
Springtails,saprotroph,T2_41,8,263,40
Springtails,saprotroph,T2_42,7,222,40
Springtails,saprotroph,T2_44,8,73,40
Springtails,saprotroph,T2_45,5,137,40
Springtails,saprotroph,T2_46,8,187,40
Springtails,saprotroph,T2_47,5,48,40
Springtails,saprotroph,T2_48,5,77,40
Springtails,saprotroph,T2_49,8,119,40
Springtails,saprotroph,T2_50,6,86,40
Springtails,saprotroph,T2_51,4,42,40
Springtails,saprotroph,T2_52,5,162,40
Springtails,saprotroph,T2_53,3,82,40
Springtails,saprotroph,T2_54,5,137,40
Springtails,saprotroph,T2_55,4,26,40
Springtails,saprotroph,T2_56,6,117,40
Springtails,saprotroph,T2_58,4,78,40
Springtails,saprotroph,T2_59,6,64,40
Springtails,saprotroph,T2_60,5,291,40
Springtails,saprotroph,T2_65,5,90,40
Springtails,saprotroph,T2_66,4,106,40
Springtails,saprotroph,T2_67,5,256,40
Springtails,saprotroph,T2_68,6,168,40
Springtails,saprotroph,T2_69,5,307,40
Springtails,saprotroph,T2_70,0,0,40
Springtails,saprotroph,T2_71,3,74,40
Springtails,saprotroph,T2_73,10,400,40
Springtails,saprotroph,T2_74,6,189,40
Springtails,saprotroph,T2_75,5,99,40
Springtails,saprotroph,T2_78,6,517,40
Springtails,saprotroph,T2_79,5,291,40
Springtails,saprotroph,T2_81,7,154,40
Springtails,saprotroph,T2_9,6,211,40
Springtails,saprotroph,T3_1,5,128,40
Springtails,saprotroph,T3_10,3,6,40
Springtails,saprotroph,T3_12,5,60,40
Springtails,saprotroph,T3_16,5,103,40
Springtails,saprotroph,T3_17,3,42,40
Springtails,saprotroph,T3_20,5,158,40
Springtails,saprotroph,T3_22,7,212,40
Springtails,saprotroph,T3_23,7,343,40
Springtails,saprotroph,T3_24,8,376,40
Springtails,saprotroph,T3_25,9,291,40
Springtails,saprotroph,T3_26,4,80,40
Springtails,saprotroph,T3_27,5,39,40
Springtails,saprotroph,T3_28,7,125,40
Springtails,saprotroph,T3_29,5,45,40
Springtails,saprotroph,T3_3,6,57,40
Springtails,saprotroph,T3_30,8,288,40
Springtails,saprotroph,T3_31,5,50,40
Springtails,saprotroph,T3_32,9,357,40
Springtails,saprotroph,T3_33,7,527,40
Springtails,saprotroph,T3_36,7,295,40
Springtails,saprotroph,T3_37,7,160,40
Springtails,saprotroph,T3_38,4,47,40
Springtails,saprotroph,T3_39,7,54,40
Springtails,saprotroph,T3_4,0,0,40
Springtails,saprotroph,T3_40,6,292,40
Springtails,saprotroph,T3_42,6,49,40
Springtails,saprotroph,T3_45,4,119,40
Springtails,saprotroph,T3_46,5,119,40
Springtails,saprotroph,T3_47,5,169,40
Springtails,saprotroph,T3_48,7,50,40
Springtails,saprotroph,T3_49,3,64,40
Springtails,saprotroph,T3_5,7,115,40
Springtails,saprotroph,T3_50,6,47,40
Springtails,saprotroph,T3_51,5,27,40
Springtails,saprotroph,T3_52,6,140,40
Springtails,saprotroph,T3_53,2,68,40
Springtails,saprotroph,T3_54,3,53,40
Springtails,saprotroph,T3_55,2,21,40
Springtails,saprotroph,T3_56,0,0,40
Springtails,saprotroph,T3_57,5,214,40
Springtails,saprotroph,T3_6,5,197,40
Springtails,saprotroph,T3_9,7,216,40
Springtails,saprotroph,T4_10,8,143,40
Springtails,saprotroph,T4_14,6,107,40
Springtails,saprotroph,T4_20,9,42,40
Springtails,saprotroph,T4_21,5,55,40
Springtails,saprotroph,T4_22,7,163,40
Springtails,saprotroph,T4_23,5,69,40
Springtails,saprotroph,T4_24,6,187,40
Springtails,saprotroph,T4_26,3,30,40
Springtails,saprotroph,T4_27,9,457,40
Springtails,saprotroph,T4_28,4,59,40
Springtails,saprotroph,T4_29,10,106,40
Springtails,saprotroph,T4_35,5,108,40
Springtails,saprotroph,T4_36,6,123,40
Springtails,saprotroph,T4_37,7,71,40
Springtails,saprotroph,T4_38,5,136,40
Springtails,saprotroph,T4_39,5,78,40
Springtails,saprotroph,T4_4,4,60,40
Springtails,saprotroph,T4_40,6,93,40
Springtails,saprotroph,T4_41,6,76,40
Springtails,saprotroph,T4_42,5,81,40
Springtails,saprotroph,T4_43,6,115,40
Springtails,saprotroph,T4_44,7,82,40
Springtails,saprotroph,T4_45,5,69,40
Springtails,saprotroph,T4_46,3,124,40
Springtails,saprotroph,T4_47,6,97,40
Springtails,saprotroph,T4_48,3,54,40
Springtails,saprotroph,T4_49,6,98,40
Springtails,saprotroph,T4_50,6,132,40
Springtails,saprotroph,T4_51,4,98,40
Springtails,saprotroph,T4_53,6,88,40
Springtails,saprotroph,T4_54,4,111,40
Springtails,saprotroph,T4_59,6,126,40
Springtails,saprotroph,T4_62,6,101,40
Springtails,saprotroph,T4_64,6,131,40
Springtails,saprotroph,T4_65,7,134,40
Springtails,saprotroph,T4_7,5,79,40
Springtails,saprotroph,T4_70,6,67,40
Springtails,saprotroph,T4_71,6,145,40
Springtails,saprotroph,T4_72,4,84,40
Springtails,saprotroph,T4_73,1,12,40
Springtails,saprotroph,T4_74,2,13,40
Springtails,saprotroph,T4_75,2,7,40
Springtails,saprotroph,T4_76,5,79,40
Springtails,saprotroph,T4_77,3,106,40
Springtails,saprotroph,T4_78,6,143,40
Springtails,saprotroph,T4_79,4,174,40
Springtails,saprotroph,T4_8,5,107,40
Springtails,saprotroph,T4_80,0,0,40
Springtails,saprotroph,T4_81,4,66,40
Springtails,saprotroph,T4_82,6,78,40
Springtails,saprotroph,T4_83,5,72,40
Springtails,saprotroph,T4_84,3,51,40
Springtails,saprotroph,T4_9,5,50,40
Springtails,saprotroph,TS_1,5,101,40
Springtails,saprotroph,TS_2,7,322,40
Springtails,saprotroph,TS_3,6,321,40
Springtails,saprotroph,TS_4,7,344,40
Springtails,saprotroph,TS_5,7,565,40
Snails,saprotroph,T1_27,11,27,24
Snails,saprotroph,T1_3,6,17,24
Snails,saprotroph,T1_30,10,52,24
Snails,saprotroph,T1_39,5,19,24
Snails,saprotroph,T1_4,6,15,24
Snails,saprotroph,T1_49,5,18,24
Snails,saprotroph,T1_51,6,12,24
Snails,saprotroph,T1_52,3,6,24
Snails,saprotroph,T1_53,7,21,24
Snails,saprotroph,T1_55,8,20,24
Snails,saprotroph,T1_56,7,11,24
Snails,saprotroph,T1_58,5,11,24
Snails,saprotroph,T1_59,8,20,24
Snails,saprotroph,T1_60,4,15,24
Snails,saprotroph,T1_61,4,7,24
Snails,saprotroph,T1_62,3,9,24
Snails,saprotroph,T1_63,3,6,24
Snails,saprotroph,T1_64,3,8,24
Snails,saprotroph,T1_65,2,3,24
Snails,saprotroph,T1_66,1,4,24
Snails,saprotroph,T1_9,8,28,24
Snails,saprotroph,T2_2,6,30,24
Snails,saprotroph,T2_23,5,20,24
Snails,saprotroph,T2_25,6,17,24
Snails,saprotroph,T2_27,5,26,24
Snails,saprotroph,T2_3,5,55,24
Snails,saprotroph,T2_35,6,28,24
Snails,saprotroph,T2_36,7,40,24
Snails,saprotroph,T2_38,6,19,24
Snails,saprotroph,T2_41,6,24,24
Snails,saprotroph,T2_44,5,37,24
Snails,saprotroph,T2_48,4,20,24
Snails,saprotroph,T2_50,3,10,24
Snails,saprotroph,T2_52,4,28,24
Snails,saprotroph,T2_53,5,22,24
Snails,saprotroph,T2_54,2,15,24
Snails,saprotroph,T2_56,3,19,24
Snails,saprotroph,T2_67,2,6,24
Snails,saprotroph,T2_69,3,10,24
Snails,saprotroph,T2_71,4,8,24
Snails,saprotroph,T2_73,3,9,24
Snails,saprotroph,T2_75,4,9,24
Snails,saprotroph,T2_79,4,5,24
Snails,saprotroph,T2_81,2,10,24
Snails,saprotroph,T2_9,5,83,24
Snails,saprotroph,T3_1,6,18,24
Snails,saprotroph,T3_12,6,36,24
Snails,saprotroph,T3_17,6,26,24
Snails,saprotroph,T3_22,7,38,24
Snails,saprotroph,T3_25,4,23,24
Snails,saprotroph,T3_26,2,7,24
Snails,saprotroph,T3_27,4,16,24
Snails,saprotroph,T3_28,7,37,24
Snails,saprotroph,T3_29,5,9,24
Snails,saprotroph,T3_3,5,22,24
Snails,saprotroph,T3_30,4,23,24
Snails,saprotroph,T3_31,3,13,24
Snails,saprotroph,T3_33,3,14,24
Snails,saprotroph,T3_36,4,10,24
Snails,saprotroph,T3_37,3,7,24
Snails,saprotroph,T3_45,2,8,24
Snails,saprotroph,T3_48,3,9,24
Snails,saprotroph,T3_49,5,6,24
Snails,saprotroph,T3_52,5,15,24
Snails,saprotroph,T3_53,5,24,24
Snails,saprotroph,T3_57,2,16,24
Snails,saprotroph,T3_9,4,50,24
Snails,saprotroph,T4_14,2,14,24
Snails,saprotroph,T4_20,5,13,24
Snails,saprotroph,T4_21,5,8,24
Snails,saprotroph,T4_22,8,33,24
Snails,saprotroph,T4_24,6,30,24
Snails,saprotroph,T4_28,13,34,24
Snails,saprotroph,T4_29,5,17,24
Snails,saprotroph,T4_35,14,32,24
Snails,saprotroph,T4_36,3,19,24
Snails,saprotroph,T4_37,7,24,24
Snails,saprotroph,T4_38,9,24,24
Snails,saprotroph,T4_39,5,43,24
Snails,saprotroph,T4_4,4,14,24
Snails,saprotroph,T4_40,3,40,24
Snails,saprotroph,T4_41,4,23,24
Snails,saprotroph,T4_42,7,24,24
Snails,saprotroph,T4_43,6,28,24
Snails,saprotroph,T4_44,5,40,24
Snails,saprotroph,T4_47,9,32,24
Snails,saprotroph,T4_48,4,26,24
Snails,saprotroph,T4_49,3,20,24
Snails,saprotroph,T4_51,8,43,24
Snails,saprotroph,T4_53,5,25,24
Snails,saprotroph,T4_54,5,12,24
Snails,saprotroph,T4_59,3,15,24
Snails,saprotroph,T4_7,3,9,24
Snails,saprotroph,T4_70,2,8,24
Snails,saprotroph,T4_72,3,9,24
Snails,saprotroph,T4_76,3,12,24
Snails,saprotroph,T4_78,2,6,24
Snails,saprotroph,T4_79,2,5,24
Snails,saprotroph,T4_80,3,11,24
Snails,saprotroph,T4_81,3,10,24
Snails,saprotroph,T4_82,3,7,24
Snails,saprotroph,T4_83,3,8,24
Snails,saprotroph,T4_84,1,2,24
Snails,saprotroph,TS_1,5,20,24
Snails,saprotroph,TS_2,8,26,24
Snails,saprotroph,TS_3,8,73,24
Snails,saprotroph,TS_4,8,48,24
Snails,saprotroph,TS_5,7,46,24
Dipterans,saprotroph,T1_2,6,11,20
Dipterans,saprotroph,T1_34,1,8,20
Dipterans,saprotroph,T1_40,0,0,20
Dipterans,saprotroph,T1_42,4,4,20
Dipterans,saprotroph,T1_49,2,3,20
Dipterans,saprotroph,T1_52,4,4,20
Dipterans,saprotroph,T1_61,3,11,20
Dipterans,saprotroph,T1_63,0,0,20
Dipterans,saprotroph,T1_66,2,5,20
Dipterans,saprotroph,T1_8,2,3,20
Dipterans,saprotroph,T2_23,0,0,20
Dipterans,saprotroph,T2_41,2,5,20
Dipterans,saprotroph,T2_48,3,14,20
Dipterans,saprotroph,T2_49,2,4,20
Dipterans,saprotroph,T2_65,1,1,20
Dipterans,saprotroph,T2_71,0,0,20
Dipterans,saprotroph,T2_9,2,3,20
Dipterans,saprotroph,T3_3,2,2,20
Dipterans,saprotroph,T3_30,0,0,20
Dipterans,saprotroph,T3_32,2,2,20
Dipterans,saprotroph,T3_40,1,1,20
Dipterans,saprotroph,T3_5,6,29,20
Dipterans,saprotroph,T3_50,2,2,20
Dipterans,saprotroph,T3_55,3,82,20
Dipterans,saprotroph,T3_57,0,0,20
Dipterans,saprotroph,T4_39,2,3,20
Dipterans,saprotroph,T4_51,6,12,20
Dipterans,saprotroph,T4_54,4,15,20
Dipterans,saprotroph,T4_59,2,2,20
Dipterans,saprotroph,T4_64,3,6,20
Dipterans,saprotroph,T4_70,1,1,20
Dipterans,saprotroph,T4_73,1,1,20
Dipterans,saprotroph,T4_77,2,2,20
Dipterans,saprotroph,T4_81,2,3,20
Dipterans,saprotroph,T4_9,1,1,20
Dipterans,saprotroph,TS_1,2,5,20
Moths,saprotroph,T1_2,3,18,14
Moths,saprotroph,T1_34,5,13,14
Moths,saprotroph,T1_40,1,1,14
Moths,saprotroph,T1_42,1,1,14
Moths,saprotroph,T1_49,1,1,14
Moths,saprotroph,T1_52,1,6,14
Moths,saprotroph,T1_61,1,3,14
Moths,saprotroph,T1_63,0,0,14
Moths,saprotroph,T1_66,0,0,14
Moths,saprotroph,T1_8,5,42,14
Moths,saprotroph,T2_23,1,3,14
Moths,saprotroph,T2_41,2,6,14
Moths,saprotroph,T2_48,1,9,14
Moths,saprotroph,T2_49,1,4,14
Moths,saprotroph,T2_65,0,0,14
Moths,saprotroph,T2_71,1,1,14
Moths,saprotroph,T2_9,1,2,14
Moths,saprotroph,T3_3,2,2,14
Moths,saprotroph,T3_30,3,3,14
Moths,saprotroph,T3_32,2,5,14
Moths,saprotroph,T3_40,0,0,14
Moths,saprotroph,T3_5,1,1,14
Moths,saprotroph,T3_50,0,0,14
Moths,saprotroph,T3_55,0,0,14
Moths,saprotroph,T3_57,0,0,14
Moths,saprotroph,T4_39,3,17,14
Moths,saprotroph,T4_51,3,5,14
Moths,saprotroph,T4_54,3,9,14
Moths,saprotroph,T4_59,1,2,14
Moths,saprotroph,T4_64,3,6,14
Moths,saprotroph,T4_70,0,0,14
Moths,saprotroph,T4_73,2,2,14
Moths,saprotroph,T4_77,0,0,14
Moths,saprotroph,T4_81,0,0,14
Moths,saprotroph,T4_9,9,70,14
Moths,saprotroph,TS_1,1,6,14
Worms,saprotroph,T1_27,2,2,8
Worms,saprotroph,T1_30,0,0,8
Worms,saprotroph,T1_49,1,2,8
Worms,saprotroph,T1_51,2,4,8
Worms,saprotroph,T1_53,1,2,8
Worms,saprotroph,T1_56,1,3,8
Worms,saprotroph,T1_58,1,5,8
Worms,saprotroph,T1_59,1,1,8
Worms,saprotroph,T1_60,0,0,8
Worms,saprotroph,T1_61,1,4,8
Worms,saprotroph,T1_62,0,0,8
Worms,saprotroph,T1_63,0,0,8
Worms,saprotroph,T1_64,0,0,8
Worms,saprotroph,T1_65,1,1,8
Worms,saprotroph,T1_66,0,0,8
Worms,saprotroph,T2_2,2,3,8
Worms,saprotroph,T2_23,0,0,8
Worms,saprotroph,T2_25,0,0,8
Worms,saprotroph,T2_35,0,0,8
Worms,saprotroph,T2_38,1,1,8
Worms,saprotroph,T2_41,0,0,8
Worms,saprotroph,T2_44,1,1,8
Worms,saprotroph,T2_48,0,0,8
Worms,saprotroph,T2_50,0,0,8
Worms,saprotroph,T2_52,0,0,8
Worms,saprotroph,T2_54,1,2,8
Worms,saprotroph,T2_67,1,1,8
Worms,saprotroph,T2_69,2,7,8
Worms,saprotroph,T2_73,0,0,8
Worms,saprotroph,T2_75,0,0,8
Worms,saprotroph,T2_79,1,1,8
Worms,saprotroph,T2_9,2,2,8
Worms,saprotroph,T3_12,1,3,8
Worms,saprotroph,T3_17,3,4,8
Worms,saprotroph,T3_22,1,3,8
Worms,saprotroph,T3_23,0,0,8
Worms,saprotroph,T3_26,0,0,8
Worms,saprotroph,T3_27,1,1,8
Worms,saprotroph,T3_28,0,0,8
Worms,saprotroph,T3_3,2,2,8
Worms,saprotroph,T3_30,1,1,8
Worms,saprotroph,T3_31,1,4,8
Worms,saprotroph,T3_33,1,1,8
Worms,saprotroph,T3_36,0,0,8
Worms,saprotroph,T3_37,0,0,8
Worms,saprotroph,T3_45,1,1,8
Worms,saprotroph,T3_48,0,0,8
Worms,saprotroph,T3_49,1,2,8
Worms,saprotroph,T3_52,0,0,8
Worms,saprotroph,T3_53,0,0,8
Worms,saprotroph,T3_55,0,0,8
Worms,saprotroph,T3_57,1,1,8
Worms,saprotroph,T3_9,2,2,8
Worms,saprotroph,T4_14,0,0,8
Worms,saprotroph,T4_22,3,5,8
Worms,saprotroph,T4_24,1,4,8
Worms,saprotroph,T4_27,1,2,8
Worms,saprotroph,T4_29,0,0,8
Worms,saprotroph,T4_35,2,8,8
Worms,saprotroph,T4_37,1,5,8
Worms,saprotroph,T4_39,1,1,8
Worms,saprotroph,T4_41,2,6,8
Worms,saprotroph,T4_42,3,5,8
Worms,saprotroph,T4_44,2,3,8
Worms,saprotroph,T4_47,2,2,8
Worms,saprotroph,T4_48,0,0,8
Worms,saprotroph,T4_49,1,1,8
Worms,saprotroph,T4_5,1,2,8
Worms,saprotroph,T4_51,4,12,8
Worms,saprotroph,T4_53,1,1,8
Worms,saprotroph,T4_54,0,0,8
Worms,saprotroph,T4_59,0,0,8
Worms,saprotroph,T4_7,0,0,8
Worms,saprotroph,T4_70,0,0,8
Worms,saprotroph,T4_72,0,0,8
Worms,saprotroph,T4_76,1,1,8
Worms,saprotroph,T4_78,0,0,8
Worms,saprotroph,T4_79,0,0,8
Worms,saprotroph,T4_80,1,1,8
Worms,saprotroph,T4_81,0,0,8
Worms,saprotroph,T4_82,1,1,8
Worms,saprotroph,T4_83,0,0,8
Worms,saprotroph,TS_1,0,0,8
Worms,saprotroph,TS_2,0,0,8
Worms,saprotroph,TS_3,0,0,8
Worms,saprotroph,TS_4,1,4,8
Worms,saprotroph,TS_5,2,4,8
Beetles,consumer1,T1_1,12,23,188
Beetles,consumer1,T1_2,20,88,188
Beetles,consumer1,T1_27,6,8,188
Beetles,consumer1,T1_29,14,68,188
Beetles,consumer1,T1_3,9,19,188
Beetles,consumer1,T1_30,17,98,188
Beetles,consumer1,T1_34,15,34,188
Beetles,consumer1,T1_38,12,16,188
Beetles,consumer1,T1_39,14,25,188
Beetles,consumer1,T1_4,6,7,188
Beetles,consumer1,T1_40,10,26,188
Beetles,consumer1,T1_42,6,12,188
Beetles,consumer1,T1_49,16,38,188
Beetles,consumer1,T1_5,10,20,188
Beetles,consumer1,T1_50,9,21,188
Beetles,consumer1,T1_51,18,63,188
Beetles,consumer1,T1_52,18,52,188
Beetles,consumer1,T1_53,14,30,188
Beetles,consumer1,T1_54,15,42,188
Beetles,consumer1,T1_55,13,27,188
Beetles,consumer1,T1_56,10,42,188
Beetles,consumer1,T1_57,7,8,188
Beetles,consumer1,T1_58,10,37,188
Beetles,consumer1,T1_59,16,76,188
Beetles,consumer1,T1_60,19,155,188
Beetles,consumer1,T1_61,20,123,188
Beetles,consumer1,T1_62,14,53,188
Beetles,consumer1,T1_63,12,39,188
Beetles,consumer1,T1_64,13,121,188
Beetles,consumer1,T1_65,12,256,188
Beetles,consumer1,T1_66,17,167,188
Beetles,consumer1,T1_8,12,76,188
Beetles,consumer1,T1_9,15,35,188
Beetles,consumer1,T2_2,8,24,188
Beetles,consumer1,T2_23,11,44,188
Beetles,consumer1,T2_25,19,66,188
Beetles,consumer1,T2_27,10,22,188
Beetles,consumer1,T2_3,8,65,188
Beetles,consumer1,T2_34,0,0,188
Beetles,consumer1,T2_35,8,39,188
Beetles,consumer1,T2_36,10,47,188
Beetles,consumer1,T2_37,7,9,188
Beetles,consumer1,T2_38,2,20,188
Beetles,consumer1,T2_39,9,29,188
Beetles,consumer1,T2_4,11,43,188
Beetles,consumer1,T2_40,7,28,188
Beetles,consumer1,T2_41,10,24,188
Beetles,consumer1,T2_42,9,30,188
Beetles,consumer1,T2_44,9,48,188
Beetles,consumer1,T2_45,7,28,188
Beetles,consumer1,T2_46,4,8,188
Beetles,consumer1,T2_47,6,33,188
Beetles,consumer1,T2_48,6,9,188
Beetles,consumer1,T2_49,6,8,188
Beetles,consumer1,T2_50,5,15,188
Beetles,consumer1,T2_51,4,15,188
Beetles,consumer1,T2_52,9,24,188
Beetles,consumer1,T2_53,6,16,188
Beetles,consumer1,T2_54,10,47,188
Beetles,consumer1,T2_55,12,21,188
Beetles,consumer1,T2_56,9,22,188
Beetles,consumer1,T2_58,8,10,188
Beetles,consumer1,T2_59,9,58,188
Beetles,consumer1,T2_60,15,116,188
Beetles,consumer1,T2_65,7,26,188
Beetles,consumer1,T2_66,9,46,188
Beetles,consumer1,T2_67,8,27,188
Beetles,consumer1,T2_68,4,10,188
Beetles,consumer1,T2_69,9,70,188
Beetles,consumer1,T2_70,12,304,188
Beetles,consumer1,T2_71,8,256,188
Beetles,consumer1,T2_73,10,200,188
Beetles,consumer1,T2_74,10,102,188
Beetles,consumer1,T2_75,10,145,188
Beetles,consumer1,T2_78,8,71,188
Beetles,consumer1,T2_79,6,60,188
Beetles,consumer1,T2_81,12,158,188
Beetles,consumer1,T2_9,10,83,188
Beetles,consumer1,T3_1,9,23,188
Beetles,consumer1,T3_10,4,7,188
Beetles,consumer1,T3_12,5,25,188
Beetles,consumer1,T3_16,11,35,188
Beetles,consumer1,T3_17,8,29,188
Beetles,consumer1,T3_20,8,15,188
Beetles,consumer1,T3_22,9,28,188
Beetles,consumer1,T3_23,6,30,188
Beetles,consumer1,T3_24,7,24,188
Beetles,consumer1,T3_25,7,13,188
Beetles,consumer1,T3_26,5,16,188
Beetles,consumer1,T3_27,6,27,188
Beetles,consumer1,T3_28,10,31,188
Beetles,consumer1,T3_29,7,13,188
Beetles,consumer1,T3_3,6,39,188
Beetles,consumer1,T3_30,11,46,188
Beetles,consumer1,T3_31,6,31,188
Beetles,consumer1,T3_32,9,30,188
Beetles,consumer1,T3_33,10,56,188
Beetles,consumer1,T3_36,12,39,188
Beetles,consumer1,T3_37,10,53,188
Beetles,consumer1,T3_38,9,37,188
Beetles,consumer1,T3_39,8,24,188
Beetles,consumer1,T3_4,0,0,188
Beetles,consumer1,T3_40,3,11,188
Beetles,consumer1,T3_42,5,21,188
Beetles,consumer1,T3_45,12,49,188
Beetles,consumer1,T3_46,7,19,188
Beetles,consumer1,T3_47,7,46,188
Beetles,consumer1,T3_48,8,108,188
Beetles,consumer1,T3_49,9,31,188
Beetles,consumer1,T3_5,15,40,188
Beetles,consumer1,T3_50,16,150,188
Beetles,consumer1,T3_51,19,97,188
Beetles,consumer1,T3_52,8,37,188
Beetles,consumer1,T3_53,12,98,188
Beetles,consumer1,T3_54,8,35,188
Beetles,consumer1,T3_55,9,17,188
Beetles,consumer1,T3_56,11,41,188
Beetles,consumer1,T3_57,9,22,188
Beetles,consumer1,T3_6,9,40,188
Beetles,consumer1,T3_9,6,17,188
Beetles,consumer1,T4_10,6,14,188
Beetles,consumer1,T4_14,6,11,188
Beetles,consumer1,T4_20,3,3,188
Beetles,consumer1,T4_21,5,8,188
Beetles,consumer1,T4_22,5,18,188
Beetles,consumer1,T4_23,4,7,188
Beetles,consumer1,T4_24,8,21,188
Beetles,consumer1,T4_26,3,3,188
Beetles,consumer1,T4_27,8,19,188
Beetles,consumer1,T4_28,4,7,188
Beetles,consumer1,T4_29,8,35,188
Beetles,consumer1,T4_35,9,15,188
Beetles,consumer1,T4_36,8,17,188
Beetles,consumer1,T4_37,6,11,188
Beetles,consumer1,T4_38,10,23,188
Beetles,consumer1,T4_39,10,46,188
Beetles,consumer1,T4_4,6,42,188
Beetles,consumer1,T4_40,6,28,188
Beetles,consumer1,T4_41,8,9,188
Beetles,consumer1,T4_42,6,15,188
Beetles,consumer1,T4_43,7,13,188
Beetles,consumer1,T4_44,4,30,188
Beetles,consumer1,T4_45,7,15,188
Beetles,consumer1,T4_46,7,16,188
Beetles,consumer1,T4_47,5,10,188
Beetles,consumer1,T4_48,6,6,188
Beetles,consumer1,T4_49,8,36,188
Beetles,consumer1,T4_50,10,26,188
Beetles,consumer1,T4_51,15,29,188
Beetles,consumer1,T4_53,9,41,188
Beetles,consumer1,T4_54,14,52,188
Beetles,consumer1,T4_59,14,32,188
Beetles,consumer1,T4_62,7,16,188
Beetles,consumer1,T4_64,10,25,188
Beetles,consumer1,T4_65,17,96,188
Beetles,consumer1,T4_7,6,49,188
Beetles,consumer1,T4_70,19,91,188
Beetles,consumer1,T4_71,15,43,188
Beetles,consumer1,T4_72,13,169,188
Beetles,consumer1,T4_73,9,70,188
Beetles,consumer1,T4_74,20,102,188
Beetles,consumer1,T4_75,13,94,188
Beetles,consumer1,T4_76,12,57,188
Beetles,consumer1,T4_77,13,66,188
Beetles,consumer1,T4_78,14,126,188
Beetles,consumer1,T4_79,8,115,188
Beetles,consumer1,T4_8,9,65,188
Beetles,consumer1,T4_80,17,58,188
Beetles,consumer1,T4_81,14,61,188
Beetles,consumer1,T4_82,12,38,188
Beetles,consumer1,T4_83,16,59,188
Beetles,consumer1,T4_84,13,60,188
Beetles,consumer1,T4_9,11,28,188
Beetles,consumer1,TS_1,16,121,188
Beetles,consumer1,TS_2,4,6,188
Beetles,consumer1,TS_3,7,14,188
Beetles,consumer1,TS_4,4,18,188
Beetles,consumer1,TS_5,9,21,188
Cicadas,consumer1,T1_2,16,36,97
Cicadas,consumer1,T1_34,13,29,97
Cicadas,consumer1,T1_40,15,43,97
Cicadas,consumer1,T1_42,5,21,97
Cicadas,consumer1,T1_49,5,6,97
Cicadas,consumer1,T1_52,20,126,97
Cicadas,consumer1,T1_61,18,69,97
Cicadas,consumer1,T1_63,29,354,97
Cicadas,consumer1,T1_66,19,117,97
Cicadas,consumer1,T1_8,13,23,97
Cicadas,consumer1,T2_23,12,22,97
Cicadas,consumer1,T2_41,9,58,97
Cicadas,consumer1,T2_48,21,166,97
Cicadas,consumer1,T2_49,16,63,97
Cicadas,consumer1,T2_65,6,40,97
Cicadas,consumer1,T2_71,15,63,97
Cicadas,consumer1,T2_9,8,21,97
Cicadas,consumer1,T3_3,5,8,97
Cicadas,consumer1,T3_30,5,29,97
Cicadas,consumer1,T3_32,6,14,97
Cicadas,consumer1,T3_40,13,63,97
Cicadas,consumer1,T3_5,52,530,97
Cicadas,consumer1,T3_50,21,108,97
Cicadas,consumer1,T3_55,16,91,97
Cicadas,consumer1,T3_57,15,91,97
Cicadas,consumer1,T4_39,6,6,97
Cicadas,consumer1,T4_51,16,60,97
Cicadas,consumer1,T4_54,17,73,97
Cicadas,consumer1,T4_59,13,124,97
Cicadas,consumer1,T4_64,15,98,97
Cicadas,consumer1,T4_70,10,54,97
Cicadas,consumer1,T4_73,6,55,97
Cicadas,consumer1,T4_77,8,14,97
Cicadas,consumer1,T4_81,10,36,97
Cicadas,consumer1,T4_9,9,14,97
Cicadas,consumer1,TS_1,32,522,97
Sawflies,consumer1,T1_2,3,15,103
Sawflies,consumer1,T1_34,10,13,103
Sawflies,consumer1,T1_40,9,19,103
Sawflies,consumer1,T1_42,5,7,103
