SPP	POP	YR	Mx	Tmx	Nx
ERCU	ERCU_54	1992	[0.5 0 0 78.315 192.578 347.067; 0.0025 0 0 0 0 0; 0 0.315789473684211 0.233128834355828 0.203389830508475 0.127659574468085 0.0793650793650794; 0 0 0.0736196319018405 0.11864406779661 0.0425531914893617 0.0158730158730159; 0 0 0.0552147239263804 0.169491525423729 0.202127659574468 0.0793650793650794; 0 0 0.0184049079754601 0.0847457627118644 0.191489361702128 0.402116402116402]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.315789473684211 0.233128834355828 0.203389830508475 0.127659574468085 0.0793650793650794; 0 0 0.0736196319018405 0.11864406779661 0.0425531914893617 0.0158730158730159; 0 0 0.0552147239263804 0.169491525423729 0.202127659574468 0.0793650793650794; 0 0 0.0184049079754601 0.0847457627118644 0.191489361702128 0.402116402116402]	[NA 1 6 6 11 18]
ERCU	ERCU_54	1993	[0.5 0 0 78.315 192.578 347.067; 0.0025 0 0 0 0 0; 0 0.5 0.454545454545454 0 0 0; 0 0 0.181818181818182 0.6 0.0714285714285714 0; 0 0 0 0.2 0.214285714285714 0; 0 0 0 0 0.642857142857143 0.9]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.5 0.454545454545454 0 0 0; 0 0 0.181818181818182 0.6 0.0714285714285714 0; 0 0 0 0.2 0.214285714285714 0; 0 0 0 0 0.642857142857143 0.9]	[NA 0 0 3 14 10]
ERCU	ERCU_54	1994	[0.5 0 0 106.988 146.787 405.269; 0.0025 0 0 0 0 0; 0 0.454545454545454 0.333333333333333 0.088235294117647 0.12280701754386 0.0506329113924051; 0 0 0.172839506172839 0.147058823529412 0.0350877192982456 0.0253164556962025; 0 0 0.0493827160493827 0.352941176470588 0.280701754385965 0.0379746835443038; 0 0 0.0123456790123457 0.0294117647058823 0.280701754385965 0.481012658227848]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.454545454545454 0.333333333333333 0.088235294117647 0.12280701754386 0.0506329113924051; 0 0 0.172839506172839 0.147058823529412 0.0350877192982456 0.0253164556962025; 0 0 0.0493827160493827 0.352941176470588 0.280701754385965 0.0379746835443038; 0 0 0.0123456790123457 0.0294117647058823 0.280701754385965 0.481012658227848]	[NA 3 10 2 7 19]
ERCU	ERCU_57	1995	[0.5 0 0 442.101 461.199 1321.53; 0.0025 0 0 0 0 0; 0 0.4 0.4 0 0 0; 0 0.08 0.2 0 0.5 0.1; 0 0 0.2 0.333333333333333 0.333333333333333 0; 0 0 0 0 0 0.9]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.4 0.4 0 0 0; 0 0.08 0.2 0 0.5 0.1; 0 0 0.2 0.333333333333333 0.333333333333333 0; 0 0 0 0 0 0.9]	[NA 0 5 1 6 10]
ERCU	ERCU_57	1996	[0.5 0 0 442.101 461.199 1321.53; 0.0025 0 0 0 0 0; 0 0.409836065573771 0.413793103448276 0.109375 0.0365853658536585 0.00671140939597315; 0 0.046448087431694 0.188328912466843 0.286458333333333 0.142276422764228 0.0246085011185682; 0 0.046448087431694 0.103448275862069 0.317708333333333 0.349593495934959 0.102908277404922; 0 0.00819672131147541 0.0371352785145889 0.140625 0.333333333333333 0.76510067114094]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.409836065573771 0.413793103448276 0.109375 0.0365853658536585 0.00671140939597315; 0 0.046448087431694 0.188328912466843 0.286458333333333 0.142276422764228 0.0246085011185682; 0 0.046448087431694 0.103448275862069 0.317708333333333 0.349593495934959 0.102908277404922; 0 0.00819672131147541 0.0371352785145889 0.140625 0.333333333333333 0.76510067114094]	[NA 0 3 8 10 16]
ERCU	ERCU_57	1997	[0.5 0 0 442.101 461.199 1321.53; 0.0025 0 0 0 0 0; 0 0.167701863354037 0.509433962264151 0 0 0; 0 0 0.160377358490566 0.5 0.0666666666666667 0; 0 0.0062111801242236 0.0471698113207547 0 0.333333333333333 0; 0 0 0.00943396226415094 0.25 0.333333333333333 0.807692307692308]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.167701863354037 0.509433962264151 0 0 0; 0 0 0.160377358490566 0.5 0.0666666666666667 0; 0 0.0062111801242236 0.0471698113207547 0 0.333333333333333 0; 0 0 0.00943396226415094 0.25 0.333333333333333 0.807692307692308]	[NA 0 2 4 15 26]
ERCU	ERCU_57	1998	[0.5 0 0 490.31 828.624 4839.36; 0.0025 0 0 0 0 0; 0 0.731182795698925 0.521739130434783 0 0.125 0; 0 0.0967741935483871 0.217391304347826 0 0.25 0; 0 0.010752688172043 0.0434782608695652 0.5 0.25 0.08; 0 0 0 0 0.25 0.68]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.731182795698925 0.521739130434783 0 0.125 0; 0 0.0967741935483871 0.217391304347826 0 0.25 0; 0 0.010752688172043 0.0434782608695652 0.5 0.25 0.08; 0 0 0 0 0.25 0.68]	[NA 93 23 4 8 25]
ERCU	ERCU_57	1999	[0.5 0 0 490.31 828.624 4839.36; 0.0025 0 0 0 0 0; 0 0.571428571428571 0.431372549019608 0.166666666666667 0.125 0; 0 0 0.117647058823529 0.166666666666667 0 0; 0 0.285714285714286 0.225490196078431 0.388888888888889 0.375 0; 0 0 0.0392156862745098 0.111111111111111 0.375 0.571428571428571]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.571428571428571 0.431372549019608 0.166666666666667 0.125 0; 0 0 0.117647058823529 0.166666666666667 0 0; 0 0.285714285714286 0.225490196078431 0.388888888888889 0.375 0; 0 0 0.0392156862745098 0.111111111111111 0.375 0.571428571428571]	[NA 7 102 18 8 21]
ERCU	ERCU_70	1990	[0.5 0 0 103.992 132.237 267.041; 0.0025 0 0 0 0 0; 0 0.285714285714286 0.6 0.285714285714286 0.727272727272727 0.5; 0 0 0 0.285714285714286 0 0; 0 0 0 0 0.090909090909091 0; 0 0 0 0.142857142857143 0.090909090909091 0.25]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.285714285714286 0.6 0.285714285714286 0.727272727272727 0.5; 0 0 0 0.285714285714286 0 0; 0 0 0 0 0.090909090909091 0; 0 0 0 0.142857142857143 0.090909090909091 0.25]	[NA 1 10 7 11 16]
ERCU	ERCU_70	1991	[0.5 0 0 103.992 132.237 267.041; 0.0025 0 0 0 0 0; 0 0.422018348623853 0.362595419847328 0.0952380952380952 0.162962962962963 0.105527638190955; 0 0.0091743119266055 0.0419847328244275 0.19047619047619 0.0666666666666667 0.0301507537688442; 0 0.0091743119266055 0.0572519083969466 0.174603174603175 0.266666666666667 0.085427135678392; 0 0.0091743119266055 0.0419847328244275 0.0793650793650794 0.192592592592593 0.562814070351759]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.422018348623853 0.362595419847328 0.0952380952380952 0.162962962962963 0.105527638190955; 0 0.0091743119266055 0.0419847328244275 0.19047619047619 0.0666666666666667 0.0301507537688442; 0 0.0091743119266055 0.0572519083969466 0.174603174603175 0.266666666666667 0.085427135678392; 0 0.0091743119266055 0.0419847328244275 0.0793650793650794 0.192592592592593 0.562814070351759]	[NA 0 25 2 1 5]
ERCU	ERCU_70	1992	[0.5 0 0 103.992 132.237 267.041; 0.0025 0 0 0 0 0; 0 0.15 0.2 0.0666666666666667 0.285714285714286 0; 0 0.05 0 0 0 0; 0 0.05 0.1 0.266666666666667 0 0; 0 0 0.1 0.0666666666666667 0 0.8]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.15 0.2 0.0666666666666667 0.285714285714286 0; 0 0.05 0 0 0 0; 0 0.05 0.1 0.266666666666667 0 0; 0 0 0.1 0.0666666666666667 0 0.8]	[NA 1 10 3 7 5]
ERCU	ERCU_70	1993	[0.5 0 0 103.992 132.237 267.041; 0.0025 0 0 0 0 0; 0 0.5 0.580645161290323 0.25 0.0833333333333333 0; 0 0 0.032258064516129 0.25 0.25 0; 0 0 0.064516129032258 0 0.166666666666667 0; 0 0 0.032258064516129 0 0.166666666666667 0.6]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.5 0.580645161290323 0.25 0.0833333333333333 0; 0 0 0.032258064516129 0.25 0.25 0; 0 0 0.064516129032258 0 0.166666666666667 0; 0 0 0.032258064516129 0 0.166666666666667 0.6]	[NA 0 3 0 3 5]
ERCU	ERCU_70	1994	[0.5 0 0 103.992 132.237 267.041; 0.0025 0 0 0 0 0; 0 0 0.25 0.142857142857143 0.25 0.136363636363636; 0 0 0 0.285714285714286 0.125 0; 0 0 0 0 0 0.0454545454545455; 0 0 0 0 0.125 0.227272727272727]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0 0.25 0.142857142857143 0.25 0.136363636363636; 0 0 0 0.285714285714286 0.125 0; 0 0 0 0 0 0.0454545454545455; 0 0 0 0 0.125 0.227272727272727]	[NA 0 4 1 0 3]
ERCU	ERCU_72	1990	[0.5 0 0 199.618 361.213 1292.762; 0.0025 0 0 0 0 0; 0 0.285714285714286 0.5625 0.181818181818182 0.0769230769230769 0.0303030303030303; 0 0 0.0625 0.181818181818182 0.0384615384615385 0; 0 0 0.0625 0.318181818181818 0.269230769230769 0.0757575757575758; 0 0 0 0.136363636363636 0.615384615384615 0.848484848484849]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.285714285714286 0.5625 0.181818181818182 0.0769230769230769 0.0303030303030303; 0 0 0.0625 0.181818181818182 0.0384615384615385 0; 0 0 0.0625 0.318181818181818 0.269230769230769 0.0757575757575758; 0 0 0 0.136363636363636 0.615384615384615 0.848484848484849]	[NA 0 16 22 26 66]
ERCU	ERCU_72	1991	[0.5 0 0 654.564 885.01 2588.837; 0.0025 0 0 0 0 0; 0 0.7196261682243 0.25 0.2 0.05 0.0126582278481013; 0 0.0934579439252336 0.25 0.4 0.25 0.0253164556962025; 0 0.0186915887850467 0.0833333333333333 0.2 0.5 0.139240506329114; 0 0 0.0416666666666667 0 0.05 0.645569620253165]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.7196261682243 0.25 0.2 0.05 0.0126582278481013; 0 0.0934579439252336 0.25 0.4 0.25 0.0253164556962025; 0 0.0186915887850467 0.0833333333333333 0.2 0.5 0.139240506329114; 0 0 0.0416666666666667 0 0.05 0.645569620253165]	[NA 5 24 5 20 79]
ERCU	ERCU_72	1992	[0.5 0 0 178.44 386.323 1212.5; 0.0025 0 0 0 0 0; 0 0.391304347826087 0.36 0 0.0357142857142857 0; 0 0.0217391304347826 0.2 0 0 0; 0 0.0434782608695652 0.12 0.571428571428571 0.25 0; 0 0 0 0.0714285714285714 0.535714285714286 0.78]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.391304347826087 0.36 0 0.0357142857142857 0; 0 0.0217391304347826 0.2 0 0 0; 0 0.0434782608695652 0.12 0.571428571428571 0.25 0; 0 0 0 0.0714285714285714 0.535714285714286 0.78]	[NA 46 25 14 28 50]
ERCU	ERCU_72	1993	[0.5 0 0 89.22 217.697 960.899; 0.0025 0 0 0 0 0; 0 0.380952380952381 0.444444444444444 0 0.0740740740740741 0; 0 0.0476190476190476 0.166666666666667 0.166666666666667 0.037037037037037 0.0172413793103448; 0 0.0238095238095238 0.0555555555555556 0.333333333333333 0.333333333333333 0.0344827586206896; 0 0 0 0.166666666666667 0.444444444444444 0.827586206896552]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.380952380952381 0.444444444444444 0 0.0740740740740741 0; 0 0.0476190476190476 0.166666666666667 0.166666666666667 0.037037037037037 0.0172413793103448; 0 0.0238095238095238 0.0555555555555556 0.333333333333333 0.333333333333333 0.0344827586206896; 0 0 0 0.166666666666667 0.444444444444444 0.827586206896552]	[NA 8 36 6 27 58]
ERCU	ERCU_72	1994	[0.5 0 0 26.676 73.71 258.102; 0.0025 0 0 0 0 0; 0 0.307692307692308 0.162162162162162 0 0 0.0303030303030303; 0 0 0.189189189189189 0.7 0.0434782608695652 0.0303030303030303; 0 0.0384615384615385 0.324324324324324 0.1 0.391304347826087 0.106060606060606; 0 0 0.027027027027027 0 0.304347826086956 0.666666666666667]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.307692307692308 0.162162162162162 0 0 0.0303030303030303; 0 0 0.189189189189189 0.7 0.0434782608695652 0.0303030303030303; 0 0.0384615384615385 0.324324324324324 0.1 0.391304347826087 0.106060606060606; 0 0 0.027027027027027 0 0.304347826086956 0.666666666666667]	[NA 26 37 10 23 66]
ERCU	ERCU_72	1995	[0.5 0 0 224.054 364.523 1160.9; 0.0025 0 0 0 0 0; 0 0.647058823529412 0.304347826086956 0.0793650793650794 0.103448275862069 0.0188679245283019; 0 0.0514705882352941 0.130434782608696 0.333333333333333 0.110344827586207 0.0188679245283019; 0 0 0.130434782608696 0.238095238095238 0.36551724137931 0.207547169811321; 0 0 0.0434782608695652 0.0634920634920635 0.172413793103448 0.358490566037736]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.647058823529412 0.304347826086956 0.0793650793650794 0.103448275862069 0.0188679245283019; 0 0.0514705882352941 0.130434782608696 0.333333333333333 0.110344827586207 0.0188679245283019; 0 0 0.130434782608696 0.238095238095238 0.36551724137931 0.207547169811321; 0 0 0.0434782608695652 0.0634920634920635 0.172413793103448 0.358490566037736]	[NA 0 23 17 30 53]
ERCU	ERCU_72	1996	[0.5 0 0 50.497 123.643 222.78; 0.0025 0 0 0 0 0; 0 0.6 0.440251572327044 0.217391304347826 0.0901639344262295 0.0211267605633803; 0 0.08 0.106918238993711 0.202898550724638 0.10655737704918 0.0352112676056338; 0 0 0.0817610062893082 0.159420289855073 0.385245901639344 0.133802816901408; 0 0 0.0314465408805031 0.0144927536231884 0.204918032786885 0.577464788732394]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.6 0.440251572327044 0.217391304347826 0.0901639344262295 0.0211267605633803; 0 0.08 0.106918238993711 0.202898550724638 0.10655737704918 0.0352112676056338; 0 0 0.0817610062893082 0.159420289855073 0.385245901639344 0.133802816901408; 0 0 0.0314465408805031 0.0144927536231884 0.204918032786885 0.577464788732394]	[NA 2 15 12 34 26]
ERCU	ERCU_72	1997	[0.5 0 0 40.895 77.072 128.716; 0.0025 0 0 0 0 0; 0 0.386363636363636 0.319327731092437 0.0566037735849057 0.0326086956521739 0.018348623853211; 0 0.0454545454545455 0.0504201680672269 0.0943396226415094 0.0326086956521739 0.0091743119266055; 0 0 0.0252100840336134 0.0188679245283019 0.119565217391304 0.0458715596330275; 0 0 0 0.0188679245283019 0.0108695652173913 0.211009174311927]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.386363636363636 0.319327731092437 0.0566037735849057 0.0326086956521739 0.018348623853211; 0 0.0454545454545455 0.0504201680672269 0.0943396226415094 0.0326086956521739 0.0091743119266055; 0 0 0.0252100840336134 0.0188679245283019 0.119565217391304 0.0458715596330275; 0 0 0 0.0188679245283019 0.0108695652173913 0.211009174311927]	[NA 2 16 9 17 22]
ERCU	ERCU_85	1990	[0.5 0 0 253.087 589.347 2075.785; 0.0025 0 0 0 0 0; 0 0.6 0.476190476190476 0.105263157894737 0 0; 0 0 0.333333333333333 0.131578947368421 0 0; 0 0.2 0.0476190476190476 0.368421052631579 0.185185185185185 0.0526315789473684; 0 0 0 0.368421052631579 0.777777777777778 0.868421052631579]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.6 0.476190476190476 0.105263157894737 0 0; 0 0 0.333333333333333 0.131578947368421 0 0; 0 0.2 0.0476190476190476 0.368421052631579 0.185185185185185 0.0526315789473684; 0 0 0 0.368421052631579 0.777777777777778 0.868421052631579]	[NA 3 21 38 27 38]
ERCU	ERCU_85	1991	[0.5 0 0 335.862 588.372 2105.881; 0.0025 0 0 0 0 0; 0 0.833333333333333 0.36 0.0588235294117647 0.0588235294117647 0; 0 0 0.24 0.470588235294118 0.264705882352941 0.051948051948052; 0 0 0.16 0.235294117647059 0.441176470588235 0.246753246753247; 0 0 0 0 0.0588235294117647 0.597402597402597]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.833333333333333 0.36 0.0588235294117647 0.0588235294117647 0; 0 0 0.24 0.470588235294118 0.264705882352941 0.051948051948052; 0 0 0.16 0.235294117647059 0.441176470588235 0.246753246753247; 0 0 0 0 0.0588235294117647 0.597402597402597]	[NA 1 25 17 34 77]
ERCU	ERCU_85	1992	[0.5 0 0 173.087 363.125 1192.871; 0.0025 0 0 0 0 0; 0 0.583333333333333 0.111111111111111 0.0714285714285714 0.0434782608695652 0; 0 0.0833333333333333 0.444444444444444 0.214285714285714 0.0434782608695652 0; 0 0.0833333333333333 0.277777777777778 0.535714285714286 0.521739130434783 0; 0 0.0833333333333333 0 0.0714285714285714 0.304347826086956 0.844444444444444]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.583333333333333 0.111111111111111 0.0714285714285714 0.0434782608695652 0; 0 0.0833333333333333 0.444444444444444 0.214285714285714 0.0434782608695652 0; 0 0.0833333333333333 0.277777777777778 0.535714285714286 0.521739130434783 0; 0 0.0833333333333333 0 0.0714285714285714 0.304347826086956 0.844444444444444]	[NA 12 18 28 46 45]
ERCU	ERCU_85	1993	[0.5 0 0 143.644 273.905 1009.078; 0.0025 0 0 0 0 0; 0 0.625 0.5 0.157894736842105 0.0888888888888889 0; 0 0 0.0714285714285714 0.157894736842105 0.0444444444444445 0; 0 0 0.0714285714285714 0.315789473684211 0.355555555555556 0; 0 0 0.142857142857143 0.210526315789474 0.488888888888889 0.87719298245614]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.625 0.5 0.157894736842105 0.0888888888888889 0; 0 0 0.0714285714285714 0.157894736842105 0.0444444444444445 0; 0 0 0.0714285714285714 0.315789473684211 0.355555555555556 0; 0 0 0.142857142857143 0.210526315789474 0.488888888888889 0.87719298245614]	[NA 0 14 19 45 57]
ERCU	ERCU_85	1994	[0.5 0 0 105.377 192.427 724.656; 0.0025 0 0 0 0 0; 0 0.344827586206897 0.15 0 0 0.0119047619047619; 0 0 0.1 0 0.185185185185185 0.0119047619047619; 0 0.0344827586206896 0.55 0.285714285714286 0.62962962962963 0.130952380952381; 0 0 0.05 0.142857142857143 0.185185185185185 0.69047619047619]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.344827586206897 0.15 0 0 0.0119047619047619; 0 0 0.1 0 0.185185185185185 0.0119047619047619; 0 0.0344827586206896 0.55 0.285714285714286 0.62962962962963 0.130952380952381; 0 0 0.05 0.142857142857143 0.185185185185185 0.69047619047619]	[NA 1 20 7 27 84]
ERCU	ERCU_85	1995	[0.5 0 0 201.543 362.989 1037.262; 0.0025 0 0 0 0 0; 0 0.680851063829787 0.384615384615385 0.090909090909091 0.073170731707317 0.0153846153846154; 0 0.0531914893617021 0.0769230769230769 0.363636363636364 0.097560975609756 0; 0 0 0 0.181818181818182 0.390243902439024 0.138461538461538; 0 0 0 0.181818181818182 0.24390243902439 0.646153846153846]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.680851063829787 0.384615384615385 0.090909090909091 0.073170731707317 0.0153846153846154; 0 0.0531914893617021 0.0769230769230769 0.363636363636364 0.097560975609756 0; 0 0 0 0.181818181818182 0.390243902439024 0.138461538461538; 0 0 0 0.181818181818182 0.24390243902439 0.646153846153846]	[NA 94 13 11 41 65]
ERCU	ERCU_85	1996	[0.5 0 0 140.068 306.891 631.094; 0.0025 0 0 0 0 0; 0 0.4 0.546666666666667 0.222222222222222 0.064516129032258 0.0350877192982456; 0 0.2 0.133333333333333 0.166666666666667 0.0967741935483871 0.0350877192982456; 0 0 0.0666666666666667 0.333333333333333 0.483870967741935 0.192982456140351; 0 0 0 0 0.193548387096774 0.596491228070175]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.4 0.546666666666667 0.222222222222222 0.064516129032258 0.0350877192982456; 0 0.2 0.133333333333333 0.166666666666667 0.0967741935483871 0.0350877192982456; 0 0 0.0666666666666667 0.333333333333333 0.483870967741935 0.192982456140351; 0 0 0 0 0.193548387096774 0.596491228070175]	[NA 5 75 18 31 57]
ERCU	ERCU_85	1997	[0.5 0 0 93.332 154.998 391.663; 0.0025 0 0 0 0 0; 0 0.5 0.254901960784314 0 0.0277777777777778 0.0277777777777778; 0 0 0.0784313725490196 0.0526315789473684 0.0833333333333333 0; 0 0 0 0 0.0277777777777778 0; 0 0 0 0 0 0]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.5 0.254901960784314 0 0.0277777777777778 0.0277777777777778; 0 0 0.0784313725490196 0.0526315789473684 0.0833333333333333 0; 0 0 0 0 0.0277777777777778 0; 0 0 0 0 0 0]	[NA 2 51 19 36 36]
ERCU	ERCU_85	1998	[0.5 0 0 58.201 42.795 128.385; 0.0025 0 0 0 0 0; 0 0.761904761904762 0.653846153846154 0.272727272727273 0.333333333333333 0; 0 0.0238095238095238 0 0.090909090909091 0.333333333333333 0; 0 0 0.115384615384615 0.181818181818182 0 0.04; 0 0 0 0.181818181818182 0 0.24]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.761904761904762 0.653846153846154 0.272727272727273 0.333333333333333 0; 0 0.0238095238095238 0 0.090909090909091 0.333333333333333 0; 0 0 0.115384615384615 0.181818181818182 0 0.04; 0 0 0 0.181818181818182 0 0.24]	[NA 42 26 11 2 1]
ERCU	ERCU_91	1990	[0.5 0 0 213.876 532.314 1872.603; 0.0025 0 0 0 0 0; 0 0.6 0.648648648648649 0.15 0 0; 0 0 0.243243243243243 0.25 0.08 0; 0 0.2 0 0.375 0.16 0; 0 0 0 0.15 0.56 1]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.6 0.648648648648649 0.15 0 0; 0 0 0.243243243243243 0.25 0.08 0; 0 0.2 0 0.375 0.16 0; 0 0 0 0.15 0.56 1]	[NA 2 37 40 25 33]
ERCU	ERCU_91	1991	[0.5 0 0 333.411 612.888 2603.546; 0.0025 0 0 0 0 0; 0 0.833333333333333 0.333333333333333 0.1 0 0; 0 0 0.363636363636364 0.6 0.210526315789474 0.0392156862745098; 0 0 0.0606060606060606 0.2 0.631578947368421 0.0980392156862745; 0 0 0 0 0.105263157894737 0.823529411764706]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.833333333333333 0.333333333333333 0.1 0 0; 0 0 0.363636363636364 0.6 0.210526315789474 0.0392156862745098; 0 0 0.0606060606060606 0.2 0.631578947368421 0.0980392156862745; 0 0 0 0 0.105263157894737 0.823529411764706]	[NA 1 33 20 19 51]
ERCU	ERCU_91	1992	[0.5 0 0 196.284 341.713 1210.715; 0.0025 0 0 0 0 0; 0 0.722222222222222 0.620689655172414 0.277777777777778 0.0740740740740741 0; 0 0 0.206896551724138 0.166666666666667 0 0; 0 0 0.0344827586206896 0.472222222222222 0.444444444444444 0.0465116279069767; 0 0 0 0.0277777777777778 0.333333333333333 0.790697674418605]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.722222222222222 0.620689655172414 0.277777777777778 0.0740740740740741 0; 0 0 0.206896551724138 0.166666666666667 0 0; 0 0 0.0344827586206896 0.472222222222222 0.444444444444444 0.0465116279069767; 0 0 0 0.0277777777777778 0.333333333333333 0.790697674418605]	[NA 18 29 36 27 43]
ERCU	ERCU_91	1993	[0.5 0 0 126.692 260.522 995.695; 0.0025 0 0 0 0 0; 0 0.625 0.404255319148936 0.153846153846154 0.027027027027027 0; 0 0 0.234042553191489 0.230769230769231 0.189189189189189 0; 0 0 0.170212765957447 0.307692307692308 0.432432432432433 0.108695652173913; 0 0 0.0212765957446809 0.0769230769230769 0.108108108108108 0.739130434782609]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.625 0.404255319148936 0.153846153846154 0.027027027027027 0; 0 0 0.234042553191489 0.230769230769231 0.189189189189189 0; 0 0 0.170212765957447 0.307692307692308 0.432432432432433 0.108695652173913; 0 0 0.0212765957446809 0.0769230769230769 0.108108108108108 0.739130434782609]	[NA 0 47 13 37 46]
ERCU	ERCU_91	1994	[0.5 0 0 35.895 49.655 135.683; 0.0025 0 0 0 0 0; 0 0.344827586206897 0.206896551724138 0.214285714285714 0 0; 0 0 0.172413793103448 0.142857142857143 0.12 0.0317460317460317; 0 0.0344827586206896 0.0689655172413793 0.285714285714286 0.52 0.142857142857143; 0 0 0 0.0357142857142857 0.18 0.571428571428571]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.344827586206897 0.206896551724138 0.214285714285714 0 0; 0 0 0.172413793103448 0.142857142857143 0.12 0.0317460317460317; 0 0.0344827586206896 0.0689655172413793 0.285714285714286 0.52 0.142857142857143; 0 0 0 0.0357142857142857 0.18 0.571428571428571]	[NA 2 29 28 50 63]
ERCU	ERCU_91	1995	[0.5 0 0 47.846 80.626 214.594; 0.0025 0 0 0 0 0; 0 0.680851063829787 0.521739130434783 0.117647058823529 0.166666666666667 0.0212765957446809; 0 0.0531914893617021 0.0869565217391304 0.470588235294118 0.208333333333333 0.0212765957446809; 0 0 0 0.117647058823529 0.229166666666667 0.170212765957447; 0 0 0 0 0.104166666666667 0.382978723404255]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.680851063829787 0.521739130434783 0.117647058823529 0.166666666666667 0.0212765957446809; 0 0.0531914893617021 0.0869565217391304 0.470588235294118 0.208333333333333 0.0212765957446809; 0 0 0 0.117647058823529 0.229166666666667 0.170212765957447; 0 0 0 0 0.104166666666667 0.382978723404255]	[NA 0 23 17 48 47]
ERCU	ERCU_91	1996	[0.5 0 0 58.47 115.771 128.342; 0.0025 0 0 0 0 0; 0 0.666666666666667 0.555555555555556 0.375 0.04 0; 0 0.111111111111111 0.0740740740740741 0.125 0.16 0.08; 0 0 0.037037037037037 0.0833333333333333 0.36 0.16; 0 0 0.0740740740740741 0 0.2 0.32]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.666666666666667 0.555555555555556 0.375 0.04 0; 0 0.111111111111111 0.0740740740740741 0.125 0.16 0.08; 0 0 0.037037037037037 0.0833333333333333 0.36 0.16; 0 0 0.0740740740740741 0 0.2 0.32]	[NA 2 27 24 25 25]
ERCU	ERCU_91	1997	[0.5 0 0 69.749 110.46 131.714; 0.0025 0 0 0 0 0; 0 0.5 0.321428571428572 0.166666666666667 0 0; 0 0 0 0 0 0.0666666666666667; 0 0 0 0 0.0625 0.133333333333333; 0 0 0 0 0.0625 0]	[0.5 0 0 0 0 0; 0.0025 0 0 0 0 0; 0 0.5 0.321428571428572 0.166666666666667 0 0; 0 0 0 0 0 0.0666666666666667; 0 0 0 0 0.0625 0.133333333333333; 0 0 0 0 0.0625 0]	[NA 0 28 12 16 15]
HYCU	HYCU_29	1999	[0.824 3.0405 0 94.2948 325.8856 782.7097; 4e-04 5e-04 0 0.0154 0.0531 0.1276; 0 0 0.1163 0 0 0.0294; 0 0.1667 0.2791 0 0 0.0441; 0 0.1667 0.1628 0.0909 0 0.1912; 0 0 0.0233 0 0 0.1471]	[0.824 0 0 0 0 0; 4e-04 0 0 0 0 0; 0 0 0.1163 0 0 0.0294; 0 0.1667 0.2791 0 0 0.0441; 0 0.1667 0.1628 0.0909 0 0.1912; 0 0 0.0233 0 0 0.1471]	[NA 6 1 22 22 3]
